OrganisationId,OrganisationName,logo_url,authorization_server_url
67,9f1959f0-5fa8-54c7-a978-329994ffe3bd,SANTANDER CCVM S.A.,,
68,9d056db2-97a6-5d55-8728-34923d018a8a,SENFF S.A. - CFI,,
69,9cbed331-1e64-5d5a-84aa-fc64758993ab,PARANA BCO S.A.,,
70,9c721898-9ce0-50f1-bf85-05075557850b,ITAÚ UNIBANCO S.A.,,
71,99aff3b0-5617-5fad-bc6e-66e320a217fc,BCO PAULISTA S.A.,,
72,98688161-67b2-55de-b057-03b749d33f5f,BCO PSA FINANCE BRASIL S.A.,,
73,97b71d05-05bc-5f97-9097-1ae718b8b683,CARUANA SCFI,,
74,97a95ddb-a6ca-58ff-9551-c371ad20371a,INTRAG DTVM LTDA,,
75,96ac0818-f830-56c4-8d31-1e716c4f0138,CECMS E.A.DIR. E.ES-COOPFISCO,,
76,9415f224-9f58-56b5-af4c-085b4438e4eb,BANCO DO BRASIL S.A.,,
77,9294c0e8-ab01-5614-942d-97f261fe3454,CREFISA S.A. CFI,,
78,926e3037-a685-553c-afa3-f7cb46ff8084,NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,,
79,9001a505-f134-534b-aa67-57a462507c61,LUIZACRED S.A. SCFI,,
80,8f25b949-de2d-59c2-967a-2f4ca924890e,HIPERCARD BM S.A.,,
81,855a97b0-4e20-4379-8fc1-a2954b344637,BONUSPAGO S.A.,,
82,8360e812-a665-5575-b32d-184cebe50e9d,BCO BS2 S.A.,,
83,8292c33e-d95a-5fe7-8f27-dd7a95c68b55,BANCO GENIAL S.A.,,
84,7f1d4439-d1d5-5cf8-84a9-fd05305db9c2,CRESOL CONFEDERAÇÃO,,
85,7eebe017-cb01-498c-81e4-6b4149b18e93,HUB PAGAMENTOS S.A,,
86,7e780f5a-c95e-4e5e-a4e7-66a4fa43dc6c,ASAAS GESTAO FINANCEIRA INSTITUICAO DE PAGAMENTO S.A.,,
87,7d1cf083-fae2-559b-b6ed-d01a7230062f,BNDES,,
88,7af13437-b613-503a-a3d1-6bd46ebabd77,BCO MODAL S.A.,,
